"provider","model_id","rank","brand","eligible_answers","mention_count","discovery_visibility","prominence_score","claimed_domain_citation_count","citation_presence"
"xai","xai/grok-4.5","6","Analyze AI","20","1","0.0500","0.0500","1","0.0500"
"xai","xai/grok-4.5","8","Ahrefs Brand Radar","20","0","0.0000","0.0000","1","0.0500"
"xai","xai/grok-4.5","9","Adobe LLM Optimizer","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","AI Clicks","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","AirOps","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Conductor","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Frase","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Geoptie","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Goodie AI","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","GrowthOS","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Limy AI","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","LLMrefs","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Nightwatch","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Rankability","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Scrunch AI","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","SE Ranking","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Similarweb","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","TrySight","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","9","Writesonic","20","0","0.0000","0.0000","0","0.0000"
