"Priority","Tier","Publisher","Article title","Article URL","Source query","US position","Ahrefs DR","Estimated page traffic","Contact route","Preferred 100 Questions asset","Pitch angle","Status","Owner","Last contacted","Follow-up date","Response","Placement URL"
"12","2","G2","Best Answer Engine Optimization (AEO) Software","https://www.g2.com/categories/answer-engine-optimization-aeo","AEO tools","12","91","4114","Vendor or category listing workflow","https://100questionsai.com/methodology","Request category evaluation with public methodology, sample output, and verifiable product evidence.","Draft only","","","","",""
"13","2","Frase","The 10 Best AI Visibility Tools in 2026","https://www.frase.io/blog/the-10-best-ai-visibility-tools-in-2026","AI visibility tools","3","80","3478","Article author or editorial contact","https://100questionsai.com/sample-report","Explain the separate frozen-baseline workflow without challenging the publisher's own product positioning.","Draft only","","","","",""
"14","2","Rankability","Best AI Search Visibility Tracking Tools","https://www.rankability.com/blog/best-ai-search-visibility-tracking-tools/","AI visibility tools","9","74","1677","Article author or editorial contact","https://100questionsai.com/sample-report","Offer hands-on evaluation of an evidence-linked baseline alongside recurring trackers.","Draft only","","","","",""
"15","2","Nightwatch","Best AI Search Monitoring Tools","https://nightwatch.io/blog/best-ai-search-monitoring-tools/","AI visibility tools","15","72","840","Article author or editorial contact","https://100questionsai.com/chatgpt-seo-tool","Position frozen benchmarking as a complementary workflow and provide factual product evidence.","Draft only","","","","",""
"16","2","AirOps","Answer Engine Optimization Tools","https://www.airops.com/blog/answer-engine-optimization-tools","AEO tools","7","75","192","Article author or editorial contact","https://100questionsai.com/methodology","Offer the public scoring and evidence methodology as a distinct evaluation model.","Draft only","","","","",""
"17","2","Conductor","Best AEO and GEO Tools","https://www.conductor.com/academy/best-aeo-geo-tools/","AEO tools","9","83","96","Academy editorial contact","https://100questionsai.com/answer-engine-optimization-tools","Suggest a fixed multi-provider benchmark option for enterprise teams needing a documented baseline.","Draft only","","","","",""
"18","2","Yotpo","Generative Engine Optimization Tools","https://www.yotpo.com/blog/generative-engine-optimization-tools/","Generative engine optimization tools","5","88","184","Article author or editorial contact","https://100questionsai.com/ai-visibility-audit-checklist","Offer the free audit checklist and CSV as a practical, noncommercial resource for ecommerce marketers.","Draft only","","","","",""
"19","3","TripleDart","Best GEO Tools","https://www.tripledart.com/ai-seo/best-geo-tools","Generative engine optimization tools","12","61","29","Article author or agency contact","https://100questionsai.com/sample-report","Pitch an agency-friendly, evidence-linked baseline and a complete example deliverable.","Draft only","","","","",""
"20","3","AI Clicks","Best AEO Tracking Tools","https://aiclicks.io/blog/best-aeo-tracking-tools","Generative engine optimization tools","7","52","88","Article author or site contact","https://100questionsai.com/answer-engine-optimization-tools","Ask for evaluation in the separate fixed-benchmark category with public evidence and limitations.","Draft only","","","","",""
"21","3","Geoptie","Best AEO Tools","https://geoptie.com/blog/best-aeo-tools","AEO tools","5","38","366","Article author or site contact","https://100questionsai.com/methodology","Offer provider coverage, evidence rules, and transparent limitations for an independent review.","Draft only","","","","",""
"22","3","TryAnalyze","Leading AI Visibility Optimization Tools","https://www.tryanalyze.ai/blog/leading-ai-visibility-optimization-tools","AI visibility tools","14","38","105","Article author or site contact","https://100questionsai.com/sample-report","Offer review access and the full sample deliverable for comparison under the article's criteria.","Draft only","","","","",""
"23","3","GrowthOS","Best AI Visibility Tools","https://www.usegrowthos.com/blog/best-ai-visibility-tools","AI visibility tools","13","14","451","Article author or site contact","https://100questionsai.com/ai-visibility-audit-checklist","Lead with the free checklist and a concise fixed-benchmark explanation for its growing audience.","Draft only","","","","",""
"24","3","TrySight","ChatGPT SEO Tools Review","https://www.trysight.ai/blog/chatgpt-seo-tools-review","ChatGPT SEO tools","7","55","43","Article author or site contact","https://100questionsai.com/chatgpt-seo-tool","Offer evidence from four providers to complement a ChatGPT-focused comparison; request hands-on evaluation.","Draft only","","","","",""
"25","3","Capston AI","ChatGPT SEO Tools","https://capston.ai/chatgpt-seo-tools/","ChatGPT SEO tools","8","49","54","Article author or site contact","https://100questionsai.com/chatgpt-seo-tool","Pitch multi-provider evidence as a control against overinterpreting one manual ChatGPT session.","Draft only","","","","",""
